series,bin_center_m,density_raw,density_smoothed
BEVMapMatch-BEVFusion,3.375,0.0459418070,0.0405133163
BEVMapMatch-BEVFusion,3.425,0.0535987749,0.0431213688
BEVMapMatch-BEVFusion,3.475,0.0306278714,0.0373603319
BEVMapMatch-BEVFusion,3.525,0.0306278714,0.0333760604
BEVMapMatch-BEVFusion,3.575,0.0382848392,0.0318980103
BEVMapMatch-BEVFusion,3.625,0.0229709035,0.0289102697
BEVMapMatch-BEVFusion,3.675,0.0306278714,0.0260603624
BEVMapMatch-BEVFusion,3.725,0.0229709035,0.0212194710
BEVMapMatch-BEVFusion,3.775,0.0076569678,0.0177208549
BEVMapMatch-BEVFusion,3.825,0.0229709035,0.0215651026
BEVMapMatch-BEVFusion,3.875,0.0306278714,0.0270865880
BEVMapMatch-BEVFusion,3.925,0.0306278714,0.0281913702
BEVMapMatch-BEVFusion,3.975,0.0229709035,0.0267792619
BEVMapMatch-BEVFusion,4.025,0.0306278714,0.0258951185
BEVMapMatch-BEVFusion,4.075,0.0153139357,0.0278437930
BEVMapMatch-BEVFusion,4.125,0.0459418070,0.0333440623
BEVMapMatch-BEVFusion,4.175,0.0306278714,0.0344996425
BEVMapMatch-BEVFusion,4.225,0.0382848392,0.0303224909
BEVMapMatch-BEVFusion,4.275,0.0153139357,0.0246865596
BEVMapMatch-BEVFusion,4.325,0.0229709035,0.0254520176
BEVMapMatch-BEVFusion,4.375,0.0306278714,0.0326803226
BEVMapMatch-BEVFusion,4.425,0.0535987749,0.0351250767
BEVMapMatch-BEVFusion,4.475,0.0153139357,0.0273623866
BEVMapMatch-BEVFusion,4.525,0.0229709035,0.0214338024
BEVMapMatch-BEVFusion,4.575,0.0153139357,0.0223179458
BEVMapMatch-BEVFusion,4.625,0.0306278714,0.0277778512
BEVMapMatch-BEVFusion,4.675,0.0382848392,0.0296946404
BEVMapMatch-BEVFusion,4.725,0.0229709035,0.0233844225
BEVMapMatch-BEVFusion,4.775,0.0076569678,0.0181343739
BEVMapMatch-BEVFusion,4.825,0.0229709035,0.0210836962
BEVMapMatch-BEVFusion,4.875,0.0306278714,0.0238569925
BEVMapMatch-BEVFusion,4.925,0.0229709035,0.0178541007
BEVMapMatch-BEVFusion,4.975,0.0000000000,0.0073156980
